;0
0;003,003_17,[0, array([ 15, 114], dtype=int32), 1, array([  5, 188], dtype=int32), 2, array([  1, 263], dtype=int32), 3, array([  3, 337], dtype=int32), 4, array([ 19, 405], dtype=int32), 5, array([ 56, 464], dtype=int32), 6, array([106, 511], dtype=int32), 7, array([164, 545], dtype=int32), 8, array([236, 556], dtype=int32), 9, array([308, 558], dtype=int32), 10, array([367, 534], dtype=int32), 11, array([420, 495], dtype=int32), 12, array([464, 448], dtype=int32), 13, array([496, 390], dtype=int32), 14, array([517, 327], dtype=int32), 15, array([536, 263], dtype=int32), 16, array([550, 196], dtype=int32), 17, array([66, 78], dtype=int32), 18, array([122,  62], dtype=int32), 19, array([179,  74], dtype=int32), 20, array([230,  94], dtype=int32), 21, array([278, 117], dtype=int32), 22, array([368, 133], dtype=int32), 23, array([419, 127], dtype=int32), 24, array([463, 125], dtype=int32), 25, array([506, 131], dtype=int32), 26, array([535, 158], dtype=int32), 27, array([319, 176], dtype=int32), 28, array([314, 220], dtype=int32), 29, array([310, 264], dtype=int32), 30, array([305, 309], dtype=int32), 31, array([224, 328], dtype=int32), 32, array([257, 339], dtype=int32), 33, array([290, 351], dtype=int32), 34, array([323, 348], dtype=int32), 35, array([354, 345], dtype=int32), 36, array([123, 145], dtype=int32), 37, array([161, 137], dtype=int32), 38, array([201, 145], dtype=int32), 39, array([232, 173], dtype=int32), 40, array([193, 174], dtype=int32), 41, array([152, 168], dtype=int32), 42, array([373, 198], dtype=int32), 43, array([410, 179], dtype=int32), 44, array([447, 185], dtype=int32), 45, array([474, 203], dtype=int32), 46, array([446, 214], dtype=int32), 47, array([408, 209], dtype=int32), 48, array([157, 409], dtype=int32), 49, array([205, 394], dtype=int32), 50, array([253, 387], dtype=int32), 51, array([280, 400], dtype=int32), 52, array([313, 395], dtype=int32), 53, array([348, 412], dtype=int32), 54, array([372, 437], dtype=int32), 55, array([340, 462], dtype=int32), 56, array([301, 472], dtype=int32), 57, array([266, 470], dtype=int32), 58, array([235, 465], dtype=int32), 59, array([194, 444], dtype=int32), 60, array([175, 414], dtype=int32), 61, array([247, 422], dtype=int32), 62, array([276, 428], dtype=int32), 63, array([309, 429], dtype=int32), 64, array([356, 437], dtype=int32), 65, array([306, 428], dtype=int32), 66, array([273, 428], dtype=int32), 67, array([243, 421], dtype=int32)]
1;003,003_42,['NA']
2;003,003_44,[0, array([ 19, 182], dtype=int32), 1, array([ 22, 254], dtype=int32), 2, array([ 31, 323], dtype=int32), 3, array([ 45, 391], dtype=int32), 4, array([ 72, 451], dtype=int32), 5, array([117, 499], dtype=int32), 6, array([172, 533], dtype=int32), 7, array([231, 556], dtype=int32), 8, array([297, 561], dtype=int32), 9, array([361, 554], dtype=int32), 10, array([415, 529], dtype=int32), 11, array([466, 495], dtype=int32), 12, array([507, 449], dtype=int32), 13, array([533, 394], dtype=int32), 14, array([549, 333], dtype=int32), 15, array([560, 270], dtype=int32), 16, array([566, 204], dtype=int32), 17, array([ 62, 126], dtype=int32), 18, array([96, 86], dtype=int32), 19, array([148,  67], dtype=int32), 20, array([204,  73], dtype=int32), 21, array([255,  94], dtype=int32), 22, array([347,  93], dtype=int32), 23, array([402,  79], dtype=int32), 24, array([458,  76], dtype=int32), 25, array([509,  97], dtype=int32), 26, array([537, 141], dtype=int32), 27, array([302, 163], dtype=int32), 28, array([301, 209], dtype=int32), 29, array([299, 255], dtype=int32), 30, array([298, 301], dtype=int32), 31, array([230, 337], dtype=int32), 32, array([263, 343], dtype=int32), 33, array([297, 349], dtype=int32), 34, array([331, 345], dtype=int32), 35, array([363, 340], dtype=int32), 36, array([118, 172], dtype=int32), 37, array([153, 154], dtype=int32), 38, array([192, 155], dtype=int32), 39, array([228, 182], dtype=int32), 40, array([191, 188], dtype=int32), 41, array([150, 188], dtype=int32), 42, array([369, 187], dtype=int32), 43, array([406, 162], dtype=int32), 44, array([444, 164], dtype=int32), 45, array([476, 183], dtype=int32), 46, array([446, 196], dtype=int32), 47, array([407, 194], dtype=int32), 48, array([201, 430], dtype=int32), 49, array([238, 406], dtype=int32), 50, array([273, 390], dtype=int32), 51, array([296, 397], dtype=int32), 52, array([320, 391], dtype=int32), 53, array([354, 407], dtype=int32), 54, array([388, 430], dtype=int32), 55, array([353, 440], dtype=int32), 56, array([321, 445], dtype=int32), 57, array([296, 447], dtype=int32), 58, array([271, 445], dtype=int32), 59, array([238, 440], dtype=int32), 60, array([218, 428], dtype=int32), 61, array([272, 425], dtype=int32), 62, array([296, 426], dtype=int32), 63, array([320, 425], dtype=int32), 64, array([370, 427], dtype=int32), 65, array([321, 404], dtype=int32), 66, array([297, 406], dtype=int32), 67, array([274, 404], dtype=int32)]
3;003,003_33,[0, array([23, 98], dtype=int32), 1, array([ 23, 172], dtype=int32), 2, array([ 34, 245], dtype=int32), 3, array([ 49, 316], dtype=int32), 4, array([ 75, 386], dtype=int32), 5, array([116, 444], dtype=int32), 6, array([165, 493], dtype=int32), 7, array([224, 525], dtype=int32), 8, array([292, 528], dtype=int32), 9, array([357, 510], dtype=int32), 10, array([405, 464], dtype=int32), 11, array([445, 409], dtype=int32), 12, array([476, 352], dtype=int32), 13, array([496, 288], dtype=int32), 14, array([507, 222], dtype=int32), 15, array([516, 162], dtype=int32), 16, array([519, 102], dtype=int32), 17, array([ 55, 105], dtype=int32), 18, array([97, 74], dtype=int32), 19, array([155,  69], dtype=int32), 20, array([211,  77], dtype=int32), 21, array([263,  94], dtype=int32), 22, array([320,  92], dtype=int32), 23, array([366,  74], dtype=int32), 24, array([414,  62], dtype=int32), 25, array([464,  59], dtype=int32), 26, array([502,  82], dtype=int32), 27, array([293, 137], dtype=int32), 28, array([294, 181], dtype=int32), 29, array([296, 225], dtype=int32), 30, array([297, 272], dtype=int32), 31, array([219, 292], dtype=int32), 32, array([256, 304], dtype=int32), 33, array([294, 317], dtype=int32), 34, array([330, 304], dtype=int32), 35, array([363, 288], dtype=int32), 36, array([107, 139], dtype=int32), 37, array([140, 129], dtype=int32), 38, array([174, 128], dtype=int32), 39, array([206, 143], dtype=int32), 40, array([173, 149], dtype=int32), 41, array([139, 149], dtype=int32), 42, array([359, 138], dtype=int32), 43, array([391, 121], dtype=int32), 44, array([423, 118], dtype=int32), 45, array([454, 124], dtype=int32), 46, array([427, 138], dtype=int32), 47, array([394, 140], dtype=int32), 48, array([172, 386], dtype=int32), 49, array([214, 371], dtype=int32), 50, array([257, 362], dtype=int32), 51, array([286, 370], dtype=int32), 52, array([316, 361], dtype=int32), 53, array([351, 369], dtype=int32), 54, array([382, 380], dtype=int32), 55, array([352, 414], dtype=int32), 56, array([318, 432], dtype=int32), 57, array([286, 438], dtype=int32), 58, array([254, 437], dtype=int32), 59, array([211, 424], dtype=int32), 60, array([188, 388], dtype=int32), 61, array([257, 389], dtype=int32), 62, array([287, 391], dtype=int32), 63, array([318, 386], dtype=int32), 64, array([366, 383], dtype=int32), 65, array([316, 393], dtype=int32), 66, array([286, 399], dtype=int32), 67, array([255, 399], dtype=int32)]
4;003,003_21,[0, array([ 18, 252], dtype=int32), 1, array([ 16, 327], dtype=int32), 2, array([ 17, 402], dtype=int32), 3, array([ 27, 479], dtype=int32), 4, array([ 50, 549], dtype=int32), 5, array([ 92, 606], dtype=int32), 6, array([147, 651], dtype=int32), 7, array([214, 677], dtype=int32), 8, array([296, 683], dtype=int32), 9, array([379, 685], dtype=int32), 10, array([457, 667], dtype=int32), 11, array([520, 627], dtype=int32), 12, array([568, 569], dtype=int32), 13, array([596, 499], dtype=int32), 14, array([610, 421], dtype=int32), 15, array([615, 345], dtype=int32), 16, array([617, 269], dtype=int32), 17, array([ 69, 155], dtype=int32), 18, array([107, 107], dtype=int32), 19, array([164,  86], dtype=int32), 20, array([225,  90], dtype=int32), 21, array([283, 110], dtype=int32), 22, array([343, 114], dtype=int32), 23, array([406, 100], dtype=int32), 24, array([471, 101], dtype=int32), 25, array([529, 127], dtype=int32), 26, array([565, 178], dtype=int32), 27, array([313, 175], dtype=int32), 28, array([313, 210], dtype=int32), 29, array([312, 244], dtype=int32), 30, array([310, 281], dtype=int32), 31, array([236, 349], dtype=int32), 32, array([271, 353], dtype=int32), 33, array([309, 356], dtype=int32), 34, array([346, 354], dtype=int32), 35, array([381, 354], dtype=int32), 36, array([124, 203], dtype=int32), 37, array([158, 186], dtype=int32), 38, array([194, 184], dtype=int32), 39, array([231, 205], dtype=int32), 40, array([194, 209], dtype=int32), 41, array([157, 210], dtype=int32), 42, array([397, 210], dtype=int32), 43, array([435, 194], dtype=int32), 44, array([472, 197], dtype=int32), 45, array([505, 216], dtype=int32), 46, array([471, 222], dtype=int32), 47, array([433, 218], dtype=int32), 48, array([182, 491], dtype=int32), 49, array([222, 444], dtype=int32), 50, array([269, 417], dtype=int32), 51, array([305, 428], dtype=int32), 52, array([343, 420], dtype=int32), 53, array([390, 449], dtype=int32), 54, array([432, 500], dtype=int32), 55, array([390, 528], dtype=int32), 56, array([344, 539], dtype=int32), 57, array([303, 540], dtype=int32), 58, array([263, 535], dtype=int32), 59, array([220, 519], dtype=int32), 60, array([203, 486], dtype=int32), 61, array([268, 473], dtype=int32), 62, array([305, 478], dtype=int32), 63, array([343, 475], dtype=int32), 64, array([410, 494], dtype=int32), 65, array([342, 481], dtype=int32), 66, array([305, 483], dtype=int32), 67, array([267, 478], dtype=int32)]
5;003,003_6,[0, array([ 27, 210], dtype=int32), 1, array([ 37, 289], dtype=int32), 2, array([ 56, 368], dtype=int32), 3, array([ 77, 446], dtype=int32), 4, array([102, 521], dtype=int32), 5, array([147, 587], dtype=int32), 6, array([212, 634], dtype=int32), 7, array([291, 666], dtype=int32), 8, array([384, 668], dtype=int32), 9, array([475, 651], dtype=int32), 10, array([545, 605], dtype=int32), 11, array([600, 546], dtype=int32), 12, array([632, 471], dtype=int32), 13, array([644, 390], dtype=int32), 14, array([649, 309], dtype=int32), 15, array([649, 227], dtype=int32), 16, array([643, 145], dtype=int32), 17, array([ 75, 141], dtype=int32), 18, array([113, 103], dtype=int32), 19, array([167,  87], dtype=int32), 20, array([224,  89], dtype=int32), 21, array([279, 103], dtype=int32), 22, array([363,  93], dtype=int32), 23, array([412,  66], dtype=int32), 24, array([467,  50], dtype=int32), 25, array([524,  53], dtype=int32), 26, array([572,  82], dtype=int32), 27, array([326, 150], dtype=int32), 28, array([332, 197], dtype=int32), 29, array([337, 243], dtype=int32), 30, array([342, 292], dtype=int32), 31, array([288, 354], dtype=int32), 32, array([319, 357], dtype=int32), 33, array([351, 361], dtype=int32), 34, array([381, 348], dtype=int32), 35, array([409, 337], dtype=int32), 36, array([141, 191], dtype=int32), 37, array([172, 166], dtype=int32), 38, array([212, 162], dtype=int32), 39, array([251, 182], dtype=int32), 40, array([214, 196], dtype=int32), 41, array([173, 202], dtype=int32), 42, array([409, 162], dtype=int32), 43, array([441, 135], dtype=int32), 44, array([481, 131], dtype=int32), 45, array([516, 148], dtype=int32), 46, array([487, 166], dtype=int32), 47, array([448, 169], dtype=int32), 48, array([241, 476], dtype=int32), 49, array([281, 435], dtype=int32), 50, array([326, 412], dtype=int32), 51, array([362, 420], dtype=int32), 52, array([398, 404], dtype=int32), 53, array([445, 413], dtype=int32), 54, array([488, 443], dtype=int32), 55, array([454, 477], dtype=int32), 56, array([412, 496], dtype=int32), 57, array([372, 504], dtype=int32), 58, array([334, 506], dtype=int32), 59, array([289, 500], dtype=int32), 60, array([261, 474], dtype=int32), 61, array([327, 457], dtype=int32), 62, array([364, 457], dtype=int32), 63, array([401, 448], dtype=int32), 64, array([471, 445], dtype=int32), 65, array([405, 447], dtype=int32), 66, array([367, 456], dtype=int32), 67, array([331, 456], dtype=int32)]
6;003,003_47,[0, array([-13, 214], dtype=int32), 1, array([-11, 281], dtype=int32), 2, array([ -2, 345], dtype=int32), 3, array([ 11, 405], dtype=int32), 4, array([ 40, 460], dtype=int32), 5, array([ 87, 507], dtype=int32), 6, array([150, 533], dtype=int32), 7, array([222, 547], dtype=int32), 8, array([295, 548], dtype=int32), 9, array([361, 535], dtype=int32), 10, array([420, 508], dtype=int32), 11, array([477, 473], dtype=int32), 12, array([517, 423], dtype=int32), 13, array([538, 364], dtype=int32), 14, array([542, 300], dtype=int32), 15, array([539, 232], dtype=int32), 16, array([534, 165], dtype=int32), 17, array([21, 89], dtype=int32), 18, array([49, 41], dtype=int32), 19, array([98, 14], dtype=int32), 20, array([155,   8], dtype=int32), 21, array([207,  22], dtype=int32), 22, array([321,  14], dtype=int32), 23, array([369,  -9], dtype=int32), 24, array([422, -13], dtype=int32), 25, array([471,   9], dtype=int32), 26, array([496,  53], dtype=int32), 27, array([270, 102], dtype=int32), 28, array([274, 136], dtype=int32), 29, array([279, 169], dtype=int32), 30, array([284, 202], dtype=int32), 31, array([225, 268], dtype=int32), 32, array([256, 271], dtype=int32), 33, array([286, 273], dtype=int32), 34, array([313, 265], dtype=int32), 35, array([340, 257], dtype=int32), 36, array([ 82, 151], dtype=int32), 37, array([111, 127], dtype=int32), 38, array([149, 123], dtype=int32), 39, array([189, 139], dtype=int32), 40, array([155, 150], dtype=int32), 41, array([115, 158], dtype=int32), 42, array([342, 128], dtype=int32), 43, array([376, 105], dtype=int32), 44, array([414, 105], dtype=int32), 45, array([442, 125], dtype=int32), 46, array([416, 136], dtype=int32), 47, array([379, 135], dtype=int32), 48, array([182, 381], dtype=int32), 49, array([221, 348], dtype=int32), 50, array([261, 328], dtype=int32), 51, array([287, 334], dtype=int32), 52, array([314, 323], dtype=int32), 53, array([356, 335], dtype=int32), 54, array([395, 361], dtype=int32), 55, array([362, 399], dtype=int32), 56, array([324, 414], dtype=int32), 57, array([295, 418], dtype=int32), 58, array([267, 420], dtype=int32), 59, array([225, 412], dtype=int32), 60, array([203, 380], dtype=int32), 61, array([262, 371], dtype=int32), 62, array([288, 370], dtype=int32), 63, array([316, 365], dtype=int32), 64, array([374, 363], dtype=int32), 65, array([320, 366], dtype=int32), 66, array([292, 371], dtype=int32), 67, array([265, 371], dtype=int32)]
7;003,003_11,[0, array([ 31, 262], dtype=int32), 1, array([ 33, 335], dtype=int32), 2, array([ 38, 409], dtype=int32), 3, array([ 48, 484], dtype=int32), 4, array([ 67, 554], dtype=int32), 5, array([104, 614], dtype=int32), 6, array([162, 656], dtype=int32), 7, array([227, 679], dtype=int32), 8, array([308, 683], dtype=int32), 9, array([390, 681], dtype=int32), 10, array([465, 661], dtype=int32), 11, array([526, 619], dtype=int32), 12, array([572, 561], dtype=int32), 13, array([600, 494], dtype=int32), 14, array([616, 417], dtype=int32), 15, array([626, 340], dtype=int32), 16, array([629, 260], dtype=int32), 17, array([ 59, 148], dtype=int32), 18, array([ 91, 106], dtype=int32), 19, array([144,  90], dtype=int32), 20, array([201,  95], dtype=int32), 21, array([252, 116], dtype=int32), 22, array([349, 112], dtype=int32), 23, array([406,  93], dtype=int32), 24, array([468,  91], dtype=int32), 25, array([527, 108], dtype=int32), 26, array([568, 150], dtype=int32), 27, array([301, 188], dtype=int32), 28, array([298, 238], dtype=int32), 29, array([294, 286], dtype=int32), 30, array([291, 338], dtype=int32), 31, array([233, 390], dtype=int32), 32, array([265, 396], dtype=int32), 33, array([298, 403], dtype=int32), 34, array([334, 395], dtype=int32), 35, array([369, 389], dtype=int32), 36, array([103, 222], dtype=int32), 37, array([137, 201], dtype=int32), 38, array([179, 201], dtype=int32), 39, array([221, 224], dtype=int32), 40, array([178, 231], dtype=int32), 41, array([136, 233], dtype=int32), 42, array([395, 223], dtype=int32), 43, array([436, 198], dtype=int32), 44, array([480, 198], dtype=int32), 45, array([517, 218], dtype=int32), 46, array([482, 231], dtype=int32), 47, array([438, 230], dtype=int32), 48, array([183, 521], dtype=int32), 49, array([225, 490], dtype=int32), 50, array([268, 470], dtype=int32), 51, array([300, 480], dtype=int32), 52, array([332, 469], dtype=int32), 53, array([379, 489], dtype=int32), 54, array([429, 517], dtype=int32), 55, array([380, 537], dtype=int32), 56, array([336, 545], dtype=int32), 57, array([303, 547], dtype=int32), 58, array([268, 546], dtype=int32), 59, array([227, 537], dtype=int32), 60, array([202, 520], dtype=int32), 61, array([267, 509], dtype=int32), 62, array([301, 512], dtype=int32), 63, array([334, 509], dtype=int32), 64, array([409, 517], dtype=int32), 65, array([335, 503], dtype=int32), 66, array([302, 507], dtype=int32), 67, array([269, 505], dtype=int32)]
8;003,003_49,[0, array([ 60, 249], dtype=int32), 1, array([ 70, 323], dtype=int32), 2, array([ 86, 395], dtype=int32), 3, array([110, 467], dtype=int32), 4, array([142, 534], dtype=int32), 5, array([186, 593], dtype=int32), 6, array([240, 643], dtype=int32), 7, array([302, 677], dtype=int32), 8, array([379, 682], dtype=int32), 9, array([457, 671], dtype=int32), 10, array([523, 630], dtype=int32), 11, array([576, 572], dtype=int32), 12, array([613, 500], dtype=int32), 13, array([635, 423], dtype=int32), 14, array([646, 342], dtype=int32), 15, array([646, 259], dtype=int32), 16, array([637, 174], dtype=int32), 17, array([ 69, 167], dtype=int32), 18, array([ 96, 128], dtype=int32), 19, array([145, 116], dtype=int32), 20, array([199, 118], dtype=int32), 21, array([251, 133], dtype=int32), 22, array([354, 122], dtype=int32), 23, array([408,  95], dtype=int32), 24, array([467,  83], dtype=int32), 25, array([526,  91], dtype=int32), 26, array([569, 127], dtype=int32), 27, array([314, 198], dtype=int32), 28, array([320, 250], dtype=int32), 29, array([324, 301], dtype=int32), 30, array([328, 354], dtype=int32), 31, array([265, 401], dtype=int32), 32, array([300, 408], dtype=int32), 33, array([337, 412], dtype=int32), 34, array([373, 403], dtype=int32), 35, array([407, 394], dtype=int32), 36, array([125, 223], dtype=int32), 37, array([154, 202], dtype=int32), 38, array([196, 199], dtype=int32), 39, array([235, 222], dtype=int32), 40, array([197, 234], dtype=int32), 41, array([155, 238], dtype=int32), 42, array([407, 211], dtype=int32), 43, array([443, 183], dtype=int32), 44, array([484, 181], dtype=int32), 45, array([519, 198], dtype=int32), 46, array([490, 217], dtype=int32), 47, array([447, 218], dtype=int32), 48, array([248, 525], dtype=int32), 49, array([283, 502], dtype=int32), 50, array([318, 488], dtype=int32), 51, array([344, 495], dtype=int32), 52, array([371, 485], dtype=int32), 53, array([416, 495], dtype=int32), 54, array([463, 513], dtype=int32), 55, array([424, 556], dtype=int32), 56, array([382, 573], dtype=int32), 57, array([352, 576], dtype=int32), 58, array([324, 574], dtype=int32), 59, array([287, 560], dtype=int32), 60, array([267, 526], dtype=int32), 61, array([320, 518], dtype=int32), 62, array([347, 520], dtype=int32), 63, array([374, 516], dtype=int32), 64, array([444, 515], dtype=int32), 65, array([376, 527], dtype=int32), 66, array([349, 532], dtype=int32), 67, array([322, 529], dtype=int32)]
9;003,003_14,[0, array([ -4, 208], dtype=int32), 1, array([ -1, 270], dtype=int32), 2, array([  6, 335], dtype=int32), 3, array([ 16, 400], dtype=int32), 4, array([ 39, 459], dtype=int32), 5, array([ 82, 506], dtype=int32), 6, array([142, 539], dtype=int32), 7, array([214, 557], dtype=int32), 8, array([293, 559], dtype=int32), 9, array([370, 549], dtype=int32), 10, array([430, 521], dtype=int32), 11, array([480, 480], dtype=int32), 12, array([513, 421], dtype=int32), 13, array([528, 355], dtype=int32), 14, array([534, 289], dtype=int32), 15, array([540, 222], dtype=int32), 16, array([541, 153], dtype=int32), 17, array([ 22, 115], dtype=int32), 18, array([52, 75], dtype=int32), 19, array([98, 60], dtype=int32), 20, array([150,  65], dtype=int32), 21, array([198,  85], dtype=int32), 22, array([289,  76], dtype=int32), 23, array([338,  50], dtype=int32), 24, array([388,  34], dtype=int32), 25, array([439,  39], dtype=int32), 26, array([478,  71], dtype=int32), 27, array([257, 133], dtype=int32), 28, array([259, 170], dtype=int32), 29, array([261, 204], dtype=int32), 30, array([263, 241], dtype=int32), 31, array([210, 293], dtype=int32), 32, array([240, 299], dtype=int32), 33, array([269, 302], dtype=int32), 34, array([297, 294], dtype=int32), 35, array([324, 285], dtype=int32), 36, array([ 74, 162], dtype=int32), 37, array([102, 139], dtype=int32), 38, array([142, 137], dtype=int32), 39, array([183, 159], dtype=int32), 40, array([146, 171], dtype=int32), 41, array([105, 176], dtype=int32), 42, array([326, 147], dtype=int32), 43, array([362, 118], dtype=int32), 44, array([401, 115], dtype=int32), 45, array([434, 131], dtype=int32), 46, array([408, 151], dtype=int32), 47, array([369, 154], dtype=int32), 48, array([173, 400], dtype=int32), 49, array([212, 375], dtype=int32), 50, array([249, 356], dtype=int32), 51, array([274, 362], dtype=int32), 52, array([303, 352], dtype=int32), 53, array([345, 365], dtype=int32), 54, array([388, 386], dtype=int32), 55, array([352, 412], dtype=int32), 56, array([314, 423], dtype=int32), 57, array([283, 427], dtype=int32), 58, array([256, 427], dtype=int32), 59, array([217, 420], dtype=int32), 60, array([190, 400], dtype=int32), 61, array([251, 392], dtype=int32), 62, array([276, 391], dtype=int32), 63, array([305, 387], dtype=int32), 64, array([369, 387], dtype=int32), 65, array([308, 386], dtype=int32), 66, array([278, 389], dtype=int32), 67, array([253, 389], dtype=int32)]
