;0
0;002,002_24,[0, array([-11, 225], dtype=int32), 1, array([  3, 296], dtype=int32), 2, array([ 19, 362], dtype=int32), 3, array([ 35, 428], dtype=int32), 4, array([ 63, 487], dtype=int32), 5, array([112, 534], dtype=int32), 6, array([182, 556], dtype=int32), 7, array([263, 561], dtype=int32), 8, array([347, 552], dtype=int32), 9, array([426, 541], dtype=int32), 10, array([488, 521], dtype=int32), 11, array([536, 485], dtype=int32), 12, array([558, 425], dtype=int32), 13, array([559, 352], dtype=int32), 14, array([553, 280], dtype=int32), 15, array([550, 208], dtype=int32), 16, array([546, 134], dtype=int32), 17, array([ 32, 138], dtype=int32), 18, array([54, 91], dtype=int32), 19, array([103,  64], dtype=int32), 20, array([158,  57], dtype=int32), 21, array([211,  64], dtype=int32), 22, array([292,  43], dtype=int32), 23, array([343,  18], dtype=int32), 24, array([398,  14], dtype=int32), 25, array([451,  28], dtype=int32), 26, array([488,  64], dtype=int32), 27, array([256, 117], dtype=int32), 28, array([263, 170], dtype=int32), 29, array([270, 220], dtype=int32), 30, array([278, 271], dtype=int32), 31, array([223, 318], dtype=int32), 32, array([256, 324], dtype=int32), 33, array([289, 327], dtype=int32), 34, array([320, 311], dtype=int32), 35, array([350, 297], dtype=int32), 36, array([ 90, 171], dtype=int32), 37, array([116, 147], dtype=int32), 38, array([149, 139], dtype=int32), 39, array([184, 153], dtype=int32), 40, array([155, 164], dtype=int32), 41, array([122, 172], dtype=int32), 42, array([340, 130], dtype=int32), 43, array([372, 106], dtype=int32), 44, array([405, 102], dtype=int32), 45, array([435, 116], dtype=int32), 46, array([409, 125], dtype=int32), 47, array([376, 128], dtype=int32), 48, array([202, 427], dtype=int32), 49, array([240, 404], dtype=int32), 50, array([273, 390], dtype=int32), 51, array([303, 393], dtype=int32), 52, array([335, 379], dtype=int32), 53, array([379, 378], dtype=int32), 54, array([426, 387], dtype=int32), 55, array([393, 408], dtype=int32), 56, array([356, 418], dtype=int32), 57, array([323, 425], dtype=int32), 58, array([291, 429], dtype=int32), 59, array([252, 433], dtype=int32), 60, array([218, 422], dtype=int32), 61, array([277, 408], dtype=int32), 62, array([307, 405], dtype=int32), 63, array([341, 396], dtype=int32), 64, array([412, 388], dtype=int32), 65, array([347, 395], dtype=int32), 66, array([314, 404], dtype=int32), 67, array([283, 405], dtype=int32)]
1;002,002_9,[0, array([-16, 218], dtype=int32), 1, array([ -7, 290], dtype=int32), 2, array([  4, 358], dtype=int32), 3, array([ 14, 424], dtype=int32), 4, array([ 41, 483], dtype=int32), 5, array([ 93, 524], dtype=int32), 6, array([166, 542], dtype=int32), 7, array([239, 552], dtype=int32), 8, array([314, 553], dtype=int32), 9, array([387, 546], dtype=int32), 10, array([451, 528], dtype=int32), 11, array([508, 497], dtype=int32), 12, array([542, 441], dtype=int32), 13, array([554, 369], dtype=int32), 14, array([554, 299], dtype=int32), 15, array([553, 228], dtype=int32), 16, array([550, 154], dtype=int32), 17, array([ 13, 117], dtype=int32), 18, array([43, 68], dtype=int32), 19, array([96, 45], dtype=int32), 20, array([156,  47], dtype=int32), 21, array([208,  65], dtype=int32), 22, array([294,  57], dtype=int32), 23, array([348,  30], dtype=int32), 24, array([408,  21], dtype=int32), 25, array([465,  39], dtype=int32), 26, array([500,  81], dtype=int32), 27, array([262, 113], dtype=int32), 28, array([268, 149], dtype=int32), 29, array([274, 184], dtype=int32), 30, array([280, 221], dtype=int32), 31, array([221, 279], dtype=int32), 32, array([255, 284], dtype=int32), 33, array([285, 285], dtype=int32), 34, array([315, 279], dtype=int32), 35, array([341, 272], dtype=int32), 36, array([ 79, 156], dtype=int32), 37, array([108, 134], dtype=int32), 38, array([142, 128], dtype=int32), 39, array([181, 143], dtype=int32), 40, array([149, 151], dtype=int32), 41, array([113, 158], dtype=int32), 42, array([340, 130], dtype=int32), 43, array([376, 109], dtype=int32), 44, array([409, 108], dtype=int32), 45, array([441, 123], dtype=int32), 46, array([411, 130], dtype=int32), 47, array([377, 131], dtype=int32), 48, array([184, 388], dtype=int32), 49, array([227, 360], dtype=int32), 50, array([262, 344], dtype=int32), 51, array([291, 349], dtype=int32), 52, array([321, 340], dtype=int32), 53, array([359, 349], dtype=int32), 54, array([404, 366], dtype=int32), 55, array([365, 379], dtype=int32), 56, array([331, 381], dtype=int32), 57, array([300, 384], dtype=int32), 58, array([271, 386], dtype=int32), 59, array([232, 390], dtype=int32), 60, array([201, 382], dtype=int32), 61, array([264, 363], dtype=int32), 62, array([292, 364], dtype=int32), 63, array([323, 359], dtype=int32), 64, array([387, 363], dtype=int32), 65, array([326, 355], dtype=int32), 66, array([295, 358], dtype=int32), 67, array([266, 360], dtype=int32)]
2;002,002_49,[0, array([ 40, 268], dtype=int32), 1, array([ 47, 345], dtype=int32), 2, array([ 56, 420], dtype=int32), 3, array([ 70, 493], dtype=int32), 4, array([ 99, 561], dtype=int32), 5, array([144, 617], dtype=int32), 6, array([212, 655], dtype=int32), 7, array([297, 671], dtype=int32), 8, array([384, 673], dtype=int32), 9, array([468, 667], dtype=int32), 10, array([543, 652], dtype=int32), 11, array([611, 619], dtype=int32), 12, array([649, 564], dtype=int32), 13, array([663, 492], dtype=int32), 14, array([666, 414], dtype=int32), 15, array([670, 336], dtype=int32), 16, array([670, 255], dtype=int32), 17, array([113, 173], dtype=int32), 18, array([141, 129], dtype=int32), 19, array([191, 103], dtype=int32), 20, array([247, 103], dtype=int32), 21, array([303, 116], dtype=int32), 22, array([429, 114], dtype=int32), 23, array([485,  89], dtype=int32), 24, array([546,  82], dtype=int32), 25, array([603, 103], dtype=int32), 26, array([637, 153], dtype=int32), 27, array([364, 180], dtype=int32), 28, array([363, 231], dtype=int32), 29, array([362, 280], dtype=int32), 30, array([360, 331], dtype=int32), 31, array([308, 376], dtype=int32), 32, array([336, 385], dtype=int32), 33, array([367, 391], dtype=int32), 34, array([398, 380], dtype=int32), 35, array([431, 368], dtype=int32), 36, array([175, 220], dtype=int32), 37, array([206, 196], dtype=int32), 38, array([246, 191], dtype=int32), 39, array([285, 216], dtype=int32), 40, array([246, 224], dtype=int32), 41, array([207, 227], dtype=int32), 42, array([461, 205], dtype=int32), 43, array([497, 178], dtype=int32), 44, array([538, 176], dtype=int32), 45, array([573, 197], dtype=int32), 46, array([540, 208], dtype=int32), 47, array([499, 209], dtype=int32), 48, array([262, 502], dtype=int32), 49, array([307, 479], dtype=int32), 50, array([344, 465], dtype=int32), 51, array([379, 470], dtype=int32), 52, array([411, 461], dtype=int32), 53, array([453, 468], dtype=int32), 54, array([505, 487], dtype=int32), 55, array([461, 509], dtype=int32), 56, array([423, 515], dtype=int32), 57, array([389, 519], dtype=int32), 58, array([351, 517], dtype=int32), 59, array([312, 514], dtype=int32), 60, array([282, 499], dtype=int32), 61, array([346, 487], dtype=int32), 62, array([381, 488], dtype=int32), 63, array([414, 483], dtype=int32), 64, array([487, 486], dtype=int32), 65, array([418, 487], dtype=int32), 66, array([385, 489], dtype=int32), 67, array([350, 488], dtype=int32)]
3;002,002_13,[0, array([  2, 280], dtype=int32), 1, array([ 15, 341], dtype=int32), 2, array([ 30, 397], dtype=int32), 3, array([ 49, 453], dtype=int32), 4, array([ 76, 504], dtype=int32), 5, array([119, 542], dtype=int32), 6, array([181, 563], dtype=int32), 7, array([248, 572], dtype=int32), 8, array([321, 567], dtype=int32), 9, array([392, 559], dtype=int32), 10, array([452, 538], dtype=int32), 11, array([503, 506], dtype=int32), 12, array([534, 455], dtype=int32), 13, array([549, 394], dtype=int32), 14, array([552, 329], dtype=int32), 15, array([552, 262], dtype=int32), 16, array([549, 193], dtype=int32), 17, array([ 41, 177], dtype=int32), 18, array([ 53, 119], dtype=int32), 19, array([95, 78], dtype=int32), 20, array([150,  62], dtype=int32), 21, array([204,  68], dtype=int32), 22, array([293,  49], dtype=int32), 23, array([342,  28], dtype=int32), 24, array([396,  27], dtype=int32), 25, array([446,  51], dtype=int32), 26, array([472,  98], dtype=int32), 27, array([258, 130], dtype=int32), 28, array([264, 168], dtype=int32), 29, array([268, 204], dtype=int32), 30, array([274, 243], dtype=int32), 31, array([227, 304], dtype=int32), 32, array([256, 309], dtype=int32), 33, array([285, 312], dtype=int32), 34, array([314, 300], dtype=int32), 35, array([340, 289], dtype=int32), 36, array([101, 201], dtype=int32), 37, array([123, 170], dtype=int32), 38, array([155, 159], dtype=int32), 39, array([190, 172], dtype=int32), 40, array([162, 185], dtype=int32), 41, array([130, 196], dtype=int32), 42, array([334, 145], dtype=int32), 43, array([362, 121], dtype=int32), 44, array([395, 119], dtype=int32), 45, array([424, 139], dtype=int32), 46, array([398, 145], dtype=int32), 47, array([366, 147], dtype=int32), 48, array([206, 442], dtype=int32), 49, array([234, 405], dtype=int32), 50, array([265, 383], dtype=int32), 51, array([292, 386], dtype=int32), 52, array([316, 375], dtype=int32), 53, array([357, 386], dtype=int32), 54, array([398, 414], dtype=int32), 55, array([365, 430], dtype=int32), 56, array([330, 435], dtype=int32), 57, array([303, 439], dtype=int32), 58, array([276, 442], dtype=int32), 59, array([243, 446], dtype=int32), 60, array([221, 436], dtype=int32), 61, array([269, 408], dtype=int32), 62, array([296, 406], dtype=int32), 63, array([321, 401], dtype=int32), 64, array([384, 413], dtype=int32), 65, array([323, 410], dtype=int32), 66, array([298, 414], dtype=int32), 67, array([271, 416], dtype=int32)]
4;002,002_18,[0, array([ 19, 168], dtype=int32), 1, array([ 20, 239], dtype=int32), 2, array([ 23, 308], dtype=int32), 3, array([ 28, 377], dtype=int32), 4, array([ 45, 442], dtype=int32), 5, array([ 82, 497], dtype=int32), 6, array([140, 532], dtype=int32), 7, array([207, 552], dtype=int32), 8, array([282, 558], dtype=int32), 9, array([355, 553], dtype=int32), 10, array([416, 528], dtype=int32), 11, array([469, 491], dtype=int32), 12, array([505, 440], dtype=int32), 13, array([524, 379], dtype=int32), 14, array([536, 316], dtype=int32), 15, array([545, 252], dtype=int32), 16, array([551, 186], dtype=int32), 17, array([83, 90], dtype=int32), 18, array([118,  55], dtype=int32), 19, array([167,  39], dtype=int32), 20, array([217,  44], dtype=int32), 21, array([265,  61], dtype=int32), 22, array([336,  60], dtype=int32), 23, array([383,  46], dtype=int32), 24, array([432,  43], dtype=int32), 25, array([479,  56], dtype=int32), 26, array([511,  90], dtype=int32), 27, array([299, 117], dtype=int32), 28, array([296, 158], dtype=int32), 29, array([294, 197], dtype=int32), 30, array([291, 239], dtype=int32), 31, array([242, 285], dtype=int32), 32, array([266, 292], dtype=int32), 33, array([291, 298], dtype=int32), 34, array([318, 294], dtype=int32), 35, array([343, 287], dtype=int32), 36, array([139, 135], dtype=int32), 37, array([170, 117], dtype=int32), 38, array([204, 116], dtype=int32), 39, array([234, 136], dtype=int32), 40, array([203, 143], dtype=int32), 41, array([169, 144], dtype=int32), 42, array([364, 137], dtype=int32), 43, array([398, 118], dtype=int32), 44, array([431, 119], dtype=int32), 45, array([458, 137], dtype=int32), 46, array([431, 147], dtype=int32), 47, array([398, 145], dtype=int32), 48, array([185, 383], dtype=int32), 49, array([226, 360], dtype=int32), 50, array([263, 348], dtype=int32), 51, array([292, 357], dtype=int32), 52, array([322, 350], dtype=int32), 53, array([357, 364], dtype=int32), 54, array([395, 388], dtype=int32), 55, array([354, 398], dtype=int32), 56, array([318, 399], dtype=int32), 57, array([288, 400], dtype=int32), 58, array([259, 398], dtype=int32), 59, array([223, 395], dtype=int32), 60, array([200, 381], dtype=int32), 61, array([262, 374], dtype=int32), 62, array([291, 378], dtype=int32), 63, array([322, 376], dtype=int32), 64, array([379, 387], dtype=int32), 65, array([319, 376], dtype=int32), 66, array([289, 377], dtype=int32), 67, array([260, 374], dtype=int32)]
5;002,002_17,[0, array([-14, 240], dtype=int32), 1, array([ -4, 308], dtype=int32), 2, array([  9, 374], dtype=int32), 3, array([ 27, 437], dtype=int32), 4, array([ 55, 493], dtype=int32), 5, array([101, 536], dtype=int32), 6, array([161, 562], dtype=int32), 7, array([230, 577], dtype=int32), 8, array([304, 577], dtype=int32), 9, array([373, 568], dtype=int32), 10, array([432, 546], dtype=int32), 11, array([480, 509], dtype=int32), 12, array([512, 457], dtype=int32), 13, array([528, 393], dtype=int32), 14, array([533, 325], dtype=int32), 15, array([536, 255], dtype=int32), 16, array([534, 185], dtype=int32), 17, array([ 39, 156], dtype=int32), 18, array([ 68, 110], dtype=int32), 19, array([121,  90], dtype=int32), 20, array([176,  90], dtype=int32), 21, array([231, 104], dtype=int32), 22, array([286,  97], dtype=int32), 23, array([337,  74], dtype=int32), 24, array([391,  63], dtype=int32), 25, array([445,  73], dtype=int32), 26, array([480, 115], dtype=int32), 27, array([265, 150], dtype=int32), 28, array([270, 192], dtype=int32), 29, array([275, 231], dtype=int32), 30, array([281, 274], dtype=int32), 31, array([231, 326], dtype=int32), 32, array([259, 330], dtype=int32), 33, array([288, 333], dtype=int32), 34, array([314, 324], dtype=int32), 35, array([339, 316], dtype=int32), 36, array([102, 192], dtype=int32), 37, array([128, 166], dtype=int32), 38, array([163, 160], dtype=int32), 39, array([197, 179], dtype=int32), 40, array([166, 191], dtype=int32), 41, array([131, 196], dtype=int32), 42, array([334, 167], dtype=int32), 43, array([363, 141], dtype=int32), 44, array([398, 139], dtype=int32), 45, array([426, 158], dtype=int32), 46, array([402, 170], dtype=int32), 47, array([367, 171], dtype=int32), 48, array([199, 437], dtype=int32), 49, array([233, 403], dtype=int32), 50, array([267, 385], dtype=int32), 51, array([295, 390], dtype=int32), 52, array([321, 381], dtype=int32), 53, array([355, 395], dtype=int32), 54, array([389, 421], dtype=int32), 55, array([358, 435], dtype=int32), 56, array([328, 442], dtype=int32), 57, array([300, 447], dtype=int32), 58, array([271, 447], dtype=int32), 59, array([237, 445], dtype=int32), 60, array([215, 432], dtype=int32), 61, array([268, 414], dtype=int32), 62, array([296, 413], dtype=int32), 63, array([323, 411], dtype=int32), 64, array([375, 420], dtype=int32), 65, array([324, 411], dtype=int32), 66, array([297, 414], dtype=int32), 67, array([269, 415], dtype=int32)]
6;002,002_39,[0, array([-16, 190], dtype=int32), 1, array([ -9, 261], dtype=int32), 2, array([  0, 331], dtype=int32), 3, array([ 14, 400], dtype=int32), 4, array([ 41, 463], dtype=int32), 5, array([ 91, 515], dtype=int32), 6, array([159, 549], dtype=int32), 7, array([238, 563], dtype=int32), 8, array([325, 559], dtype=int32), 9, array([406, 551], dtype=int32), 10, array([466, 524], dtype=int32), 11, array([513, 472], dtype=int32), 12, array([545, 408], dtype=int32), 13, array([556, 334], dtype=int32), 14, array([557, 259], dtype=int32), 15, array([554, 187], dtype=int32), 16, array([548, 116], dtype=int32), 17, array([ 24, 103], dtype=int32), 18, array([62, 67], dtype=int32), 19, array([115,  57], dtype=int32), 20, array([169,  60], dtype=int32), 21, array([225,  71], dtype=int32), 22, array([302,  57], dtype=int32), 23, array([351,  39], dtype=int32), 24, array([400,  27], dtype=int32), 25, array([450,  29], dtype=int32), 26, array([490,  53], dtype=int32), 27, array([272, 116], dtype=int32), 28, array([280, 162], dtype=int32), 29, array([287, 205], dtype=int32), 30, array([294, 251], dtype=int32), 31, array([239, 302], dtype=int32), 32, array([270, 305], dtype=int32), 33, array([298, 306], dtype=int32), 34, array([324, 298], dtype=int32), 35, array([349, 290], dtype=int32), 36, array([ 92, 155], dtype=int32), 37, array([122, 133], dtype=int32), 38, array([159, 128], dtype=int32), 39, array([197, 144], dtype=int32), 40, array([163, 154], dtype=int32), 41, array([124, 161], dtype=int32), 42, array([338, 127], dtype=int32), 43, array([370, 103], dtype=int32), 44, array([406, 100], dtype=int32), 45, array([438, 115], dtype=int32), 46, array([411, 127], dtype=int32), 47, array([375, 130], dtype=int32), 48, array([197, 406], dtype=int32), 49, array([238, 381], dtype=int32), 50, array([276, 362], dtype=int32), 51, array([304, 368], dtype=int32), 52, array([332, 356], dtype=int32), 53, array([371, 366], dtype=int32), 54, array([411, 379], dtype=int32), 55, array([377, 408], dtype=int32), 56, array([342, 420], dtype=int32), 57, array([311, 424], dtype=int32), 58, array([284, 428], dtype=int32), 59, array([241, 425], dtype=int32), 60, array([212, 406], dtype=int32), 61, array([278, 394], dtype=int32), 62, array([305, 393], dtype=int32), 63, array([334, 387], dtype=int32), 64, array([396, 383], dtype=int32), 65, array([336, 384], dtype=int32), 66, array([307, 390], dtype=int32), 67, array([280, 392], dtype=int32)]
7;002,002_12,[0, array([122, 257], dtype=int32), 1, array([123, 323], dtype=int32), 2, array([129, 391], dtype=int32), 3, array([139, 459], dtype=int32), 4, array([153, 528], dtype=int32), 5, array([183, 590], dtype=int32), 6, array([229, 641], dtype=int32), 7, array([294, 668], dtype=int32), 8, array([373, 674], dtype=int32), 9, array([455, 670], dtype=int32), 10, array([530, 651], dtype=int32), 11, array([592, 609], dtype=int32), 12, array([633, 549], dtype=int32), 13, array([654, 479], dtype=int32), 14, array([663, 405], dtype=int32), 15, array([666, 326], dtype=int32), 16, array([665, 248], dtype=int32), 17, array([147, 191], dtype=int32), 18, array([176, 157], dtype=int32), 19, array([222, 149], dtype=int32), 20, array([269, 157], dtype=int32), 21, array([315, 173], dtype=int32), 22, array([384, 164], dtype=int32), 23, array([436, 142], dtype=int32), 24, array([490, 131], dtype=int32), 25, array([546, 137], dtype=int32), 26, array([591, 170], dtype=int32), 27, array([353, 227], dtype=int32), 28, array([352, 270], dtype=int32), 29, array([350, 312], dtype=int32), 30, array([348, 355], dtype=int32), 31, array([305, 402], dtype=int32), 32, array([329, 409], dtype=int32), 33, array([355, 415], dtype=int32), 34, array([382, 408], dtype=int32), 35, array([409, 402], dtype=int32), 36, array([194, 245], dtype=int32), 37, array([224, 222], dtype=int32), 38, array([263, 224], dtype=int32), 39, array([298, 252], dtype=int32), 40, array([259, 259], dtype=int32), 41, array([220, 258], dtype=int32), 42, array([425, 248], dtype=int32), 43, array([459, 218], dtype=int32), 44, array([499, 213], dtype=int32), 45, array([534, 234], dtype=int32), 46, array([505, 250], dtype=int32), 47, array([464, 254], dtype=int32), 48, array([254, 495], dtype=int32), 49, array([291, 469], dtype=int32), 50, array([329, 456], dtype=int32), 51, array([357, 465], dtype=int32), 52, array([386, 458], dtype=int32), 53, array([434, 472], dtype=int32), 54, array([485, 491], dtype=int32), 55, array([435, 524], dtype=int32), 56, array([389, 540], dtype=int32), 57, array([357, 543], dtype=int32), 58, array([326, 540], dtype=int32), 59, array([289, 528], dtype=int32), 60, array([271, 498], dtype=int32), 61, array([328, 495], dtype=int32), 62, array([357, 498], dtype=int32), 63, array([387, 495], dtype=int32), 64, array([465, 494], dtype=int32), 65, array([387, 498], dtype=int32), 66, array([357, 501], dtype=int32), 67, array([328, 497], dtype=int32)]
8;002,002_36,[0, array([-12, 240], dtype=int32), 1, array([  0, 306], dtype=int32), 2, array([ 19, 370], dtype=int32), 3, array([ 40, 430], dtype=int32), 4, array([ 69, 490], dtype=int32), 5, array([117, 537], dtype=int32), 6, array([187, 560], dtype=int32), 7, array([264, 565], dtype=int32), 8, array([344, 555], dtype=int32), 9, array([418, 540], dtype=int32), 10, array([479, 516], dtype=int32), 11, array([531, 477], dtype=int32), 12, array([558, 417], dtype=int32), 13, array([559, 344], dtype=int32), 14, array([554, 272], dtype=int32), 15, array([552, 206], dtype=int32), 16, array([545, 137], dtype=int32), 17, array([ 23, 154], dtype=int32), 18, array([ 51, 115], dtype=int32), 19, array([98, 96], dtype=int32), 20, array([150,  90], dtype=int32), 21, array([205,  94], dtype=int32), 22, array([300,  74], dtype=int32), 23, array([350,  52], dtype=int32), 24, array([400,  39], dtype=int32), 25, array([454,  40], dtype=int32), 26, array([495,  67], dtype=int32), 27, array([262, 144], dtype=int32), 28, array([269, 182], dtype=int32), 29, array([274, 219], dtype=int32), 30, array([281, 258], dtype=int32), 31, array([241, 323], dtype=int32), 32, array([267, 325], dtype=int32), 33, array([291, 324], dtype=int32), 34, array([315, 314], dtype=int32), 35, array([337, 306], dtype=int32), 36, array([ 86, 196], dtype=int32), 37, array([115, 167], dtype=int32), 38, array([154, 159], dtype=int32), 39, array([192, 178], dtype=int32), 40, array([159, 192], dtype=int32), 41, array([120, 201], dtype=int32), 42, array([343, 149], dtype=int32), 43, array([376, 117], dtype=int32), 44, array([414, 111], dtype=int32), 45, array([447, 128], dtype=int32), 46, array([422, 145], dtype=int32), 47, array([384, 150], dtype=int32), 48, array([219, 450], dtype=int32), 49, array([252, 412], dtype=int32), 50, array([283, 387], dtype=int32), 51, array([306, 391], dtype=int32), 52, array([331, 377], dtype=int32), 53, array([370, 388], dtype=int32), 54, array([411, 406], dtype=int32), 55, array([382, 433], dtype=int32), 56, array([350, 445], dtype=int32), 57, array([322, 452], dtype=int32), 58, array([297, 457], dtype=int32), 59, array([261, 460], dtype=int32), 60, array([234, 444], dtype=int32), 61, array([287, 418], dtype=int32), 62, array([310, 414], dtype=int32), 63, array([337, 408], dtype=int32), 64, array([395, 408], dtype=int32), 65, array([340, 408], dtype=int32), 66, array([314, 415], dtype=int32), 67, array([290, 419], dtype=int32)]
9;002,002_1,[0, array([ 72, 264], dtype=int32), 1, array([ 84, 330], dtype=int32), 2, array([101, 396], dtype=int32), 3, array([117, 463], dtype=int32), 4, array([144, 526], dtype=int32), 5, array([186, 578], dtype=int32), 6, array([243, 619], dtype=int32), 7, array([308, 646], dtype=int32), 8, array([385, 648], dtype=int32), 9, array([463, 632], dtype=int32), 10, array([533, 597], dtype=int32), 11, array([597, 551], dtype=int32), 12, array([644, 494], dtype=int32), 13, array([664, 419], dtype=int32), 14, array([664, 340], dtype=int32), 15, array([659, 260], dtype=int32), 16, array([652, 181], dtype=int32), 17, array([104, 191], dtype=int32), 18, array([127, 147], dtype=int32), 19, array([175, 126], dtype=int32), 20, array([227, 125], dtype=int32), 21, array([279, 134], dtype=int32), 22, array([341, 118], dtype=int32), 23, array([390,  87], dtype=int32), 24, array([446,  70], dtype=int32), 25, array([505,  74], dtype=int32), 26, array([552, 106], dtype=int32), 27, array([313, 181], dtype=int32), 28, array([317, 227], dtype=int32), 29, array([319, 273], dtype=int32), 30, array([323, 322], dtype=int32), 31, array([284, 376], dtype=int32), 32, array([312, 378], dtype=int32), 33, array([339, 378], dtype=int32), 34, array([367, 365], dtype=int32), 35, array([394, 353], dtype=int32), 36, array([156, 229], dtype=int32), 37, array([181, 203], dtype=int32), 38, array([217, 196], dtype=int32), 39, array([252, 214], dtype=int32), 40, array([220, 230], dtype=int32), 41, array([184, 237], dtype=int32), 42, array([401, 186], dtype=int32), 43, array([431, 155], dtype=int32), 44, array([468, 148], dtype=int32), 45, array([500, 164], dtype=int32), 46, array([475, 182], dtype=int32), 47, array([437, 187], dtype=int32), 48, array([262, 485], dtype=int32), 49, array([295, 456], dtype=int32), 50, array([324, 434], dtype=int32), 51, array([353, 437], dtype=int32), 52, array([381, 423], dtype=int32), 53, array([420, 427], dtype=int32), 54, array([470, 437], dtype=int32), 55, array([431, 461], dtype=int32), 56, array([398, 474], dtype=int32), 57, array([368, 482], dtype=int32), 58, array([338, 487], dtype=int32), 59, array([305, 491], dtype=int32), 60, array([278, 480], dtype=int32), 61, array([328, 461], dtype=int32), 62, array([357, 458], dtype=int32), 63, array([386, 449], dtype=int32), 64, array([454, 440], dtype=int32), 65, array([391, 445], dtype=int32), 66, array([362, 453], dtype=int32), 67, array([333, 457], dtype=int32)]
