;0
0;004,004_34,[0, array([  2, 256], dtype=int32), 1, array([  6, 335], dtype=int32), 2, array([ 15, 413], dtype=int32), 3, array([ 28, 492], dtype=int32), 4, array([ 53, 563], dtype=int32), 5, array([ 99, 622], dtype=int32), 6, array([164, 660], dtype=int32), 7, array([241, 675], dtype=int32), 8, array([327, 674], dtype=int32), 9, array([410, 669], dtype=int32), 10, array([481, 645], dtype=int32), 11, array([537, 603], dtype=int32), 12, array([577, 544], dtype=int32), 13, array([599, 474], dtype=int32), 14, array([609, 399], dtype=int32), 15, array([615, 323], dtype=int32), 16, array([616, 247], dtype=int32), 17, array([ 68, 164], dtype=int32), 18, array([101, 118], dtype=int32), 19, array([155,  96], dtype=int32), 20, array([214,  95], dtype=int32), 21, array([269, 113], dtype=int32), 22, array([368, 109], dtype=int32), 23, array([417,  88], dtype=int32), 24, array([474,  83], dtype=int32), 25, array([528, 104], dtype=int32), 26, array([560, 150], dtype=int32), 27, array([318, 168], dtype=int32), 28, array([319, 216], dtype=int32), 29, array([320, 263], dtype=int32), 30, array([321, 311], dtype=int32), 31, array([268, 368], dtype=int32), 32, array([295, 372], dtype=int32), 33, array([323, 377], dtype=int32), 34, array([349, 371], dtype=int32), 35, array([375, 363], dtype=int32), 36, array([133, 203], dtype=int32), 37, array([163, 174], dtype=int32), 38, array([202, 173], dtype=int32), 39, array([236, 200], dtype=int32), 40, array([200, 207], dtype=int32), 41, array([161, 210], dtype=int32), 42, array([399, 196], dtype=int32), 43, array([433, 166], dtype=int32), 44, array([472, 164], dtype=int32), 45, array([501, 191], dtype=int32), 46, array([474, 202], dtype=int32), 47, array([435, 202], dtype=int32), 48, array([204, 490], dtype=int32), 49, array([249, 453], dtype=int32), 50, array([291, 436], dtype=int32), 51, array([325, 445], dtype=int32), 52, array([359, 435], dtype=int32), 53, array([397, 450], dtype=int32), 54, array([438, 484], dtype=int32), 55, array([396, 500], dtype=int32), 56, array([358, 507], dtype=int32), 57, array([323, 510], dtype=int32), 58, array([288, 509], dtype=int32), 59, array([247, 506], dtype=int32), 60, array([221, 485], dtype=int32), 61, array([291, 463], dtype=int32), 62, array([325, 466], dtype=int32), 63, array([360, 463], dtype=int32), 64, array([419, 480], dtype=int32), 65, array([358, 475], dtype=int32), 66, array([323, 480], dtype=int32), 67, array([289, 477], dtype=int32)]
1;004,004_157,[0, array([ 52, 196], dtype=int32), 1, array([ 55, 276], dtype=int32), 2, array([ 63, 356], dtype=int32), 3, array([ 73, 434], dtype=int32), 4, array([ 92, 511], dtype=int32), 5, array([131, 579], dtype=int32), 6, array([189, 632], dtype=int32), 7, array([261, 665], dtype=int32), 8, array([348, 675], dtype=int32), 9, array([436, 672], dtype=int32), 10, array([517, 646], dtype=int32), 11, array([583, 601], dtype=int32), 12, array([632, 540], dtype=int32), 13, array([655, 466], dtype=int32), 14, array([665, 387], dtype=int32), 15, array([671, 306], dtype=int32), 16, array([674, 224], dtype=int32), 17, array([107, 133], dtype=int32), 18, array([145,  94], dtype=int32), 19, array([202,  84], dtype=int32), 20, array([258,  94], dtype=int32), 21, array([317, 111], dtype=int32), 22, array([416, 114], dtype=int32), 23, array([475,  99], dtype=int32), 24, array([534,  93], dtype=int32), 25, array([591, 107], dtype=int32), 26, array([631, 148], dtype=int32), 27, array([363, 182], dtype=int32), 28, array([362, 238], dtype=int32), 29, array([360, 292], dtype=int32), 30, array([358, 349], dtype=int32), 31, array([299, 385], dtype=int32), 32, array([327, 395], dtype=int32), 33, array([359, 404], dtype=int32), 34, array([390, 397], dtype=int32), 35, array([420, 390], dtype=int32), 36, array([166, 193], dtype=int32), 37, array([202, 172], dtype=int32), 38, array([244, 174], dtype=int32), 39, array([280, 203], dtype=int32), 40, array([239, 210], dtype=int32), 41, array([198, 209], dtype=int32), 42, array([453, 209], dtype=int32), 43, array([492, 183], dtype=int32), 44, array([534, 183], dtype=int32), 45, array([568, 206], dtype=int32), 46, array([536, 220], dtype=int32), 47, array([493, 218], dtype=int32), 48, array([245, 498], dtype=int32), 49, array([288, 480], dtype=int32), 50, array([326, 471], dtype=int32), 51, array([358, 481], dtype=int32), 52, array([387, 474], dtype=int32), 53, array([425, 486], dtype=int32), 54, array([470, 509], dtype=int32), 55, array([424, 527], dtype=int32), 56, array([384, 535], dtype=int32), 57, array([353, 535], dtype=int32), 58, array([320, 532], dtype=int32), 59, array([283, 522], dtype=int32), 60, array([262, 498], dtype=int32), 61, array([324, 497], dtype=int32), 62, array([357, 503], dtype=int32), 63, array([388, 500], dtype=int32), 64, array([453, 508], dtype=int32), 65, array([385, 501], dtype=int32), 66, array([355, 502], dtype=int32), 67, array([322, 497], dtype=int32)]
2;004,004_61,[0, array([ 18, 196], dtype=int32), 1, array([ 22, 270], dtype=int32), 2, array([ 32, 342], dtype=int32), 3, array([ 44, 415], dtype=int32), 4, array([ 65, 486], dtype=int32), 5, array([105, 547], dtype=int32), 6, array([165, 594], dtype=int32), 7, array([235, 627], dtype=int32), 8, array([316, 639], dtype=int32), 9, array([399, 630], dtype=int32), 10, array([475, 595], dtype=int32), 11, array([541, 548], dtype=int32), 12, array([588, 489], dtype=int32), 13, array([613, 418], dtype=int32), 14, array([625, 342], dtype=int32), 15, array([632, 267], dtype=int32), 16, array([636, 189], dtype=int32), 17, array([ 73, 118], dtype=int32), 18, array([107,  83], dtype=int32), 19, array([158,  68], dtype=int32), 20, array([212,  70], dtype=int32), 21, array([263,  86], dtype=int32), 22, array([357,  82], dtype=int32), 23, array([410,  67], dtype=int32), 24, array([466,  63], dtype=int32), 25, array([519,  80], dtype=int32), 26, array([557, 116], dtype=int32), 27, array([309, 154], dtype=int32), 28, array([309, 200], dtype=int32), 29, array([309, 245], dtype=int32), 30, array([309, 293], dtype=int32), 31, array([254, 340], dtype=int32), 32, array([282, 350], dtype=int32), 33, array([313, 358], dtype=int32), 34, array([343, 348], dtype=int32), 35, array([372, 338], dtype=int32), 36, array([130, 176], dtype=int32), 37, array([164, 156], dtype=int32), 38, array([200, 156], dtype=int32), 39, array([236, 177], dtype=int32), 40, array([199, 181], dtype=int32), 41, array([163, 182], dtype=int32), 42, array([394, 176], dtype=int32), 43, array([429, 155], dtype=int32), 44, array([465, 155], dtype=int32), 45, array([498, 174], dtype=int32), 46, array([467, 182], dtype=int32), 47, array([430, 180], dtype=int32), 48, array([199, 449], dtype=int32), 49, array([242, 426], dtype=int32), 50, array([284, 415], dtype=int32), 51, array([315, 422], dtype=int32), 52, array([346, 413], dtype=int32), 53, array([389, 424], dtype=int32), 54, array([433, 444], dtype=int32), 55, array([390, 475], dtype=int32), 56, array([348, 491], dtype=int32), 57, array([315, 495], dtype=int32), 58, array([283, 493], dtype=int32), 59, array([241, 480], dtype=int32), 60, array([217, 452], dtype=int32), 61, array([284, 450], dtype=int32), 62, array([315, 452], dtype=int32), 63, array([347, 449], dtype=int32), 64, array([414, 447], dtype=int32), 65, array([347, 454], dtype=int32), 66, array([315, 458], dtype=int32), 67, array([283, 455], dtype=int32)]
3;004,004_150,[0, array([ 15, 267], dtype=int32), 1, array([ 30, 345], dtype=int32), 2, array([ 48, 423], dtype=int32), 3, array([ 69, 496], dtype=int32), 4, array([103, 565], dtype=int32), 5, array([151, 620], dtype=int32), 6, array([217, 659], dtype=int32), 7, array([292, 677], dtype=int32), 8, array([376, 676], dtype=int32), 9, array([454, 657], dtype=int32), 10, array([521, 622], dtype=int32), 11, array([576, 574], dtype=int32), 12, array([612, 511], dtype=int32), 13, array([626, 436], dtype=int32), 14, array([627, 356], dtype=int32), 15, array([623, 275], dtype=int32), 16, array([616, 193], dtype=int32), 17, array([ 58, 173], dtype=int32), 18, array([ 73, 114], dtype=int32), 19, array([121,  78], dtype=int32), 20, array([179,  70], dtype=int32), 21, array([235,  84], dtype=int32), 22, array([333,  70], dtype=int32), 23, array([386,  39], dtype=int32), 24, array([446,  30], dtype=int32), 25, array([504,  49], dtype=int32), 26, array([539,  99], dtype=int32), 27, array([292, 152], dtype=int32), 28, array([296, 202], dtype=int32), 29, array([300, 251], dtype=int32), 30, array([305, 302], dtype=int32), 31, array([257, 363], dtype=int32), 32, array([288, 367], dtype=int32), 33, array([321, 369], dtype=int32), 34, array([352, 356], dtype=int32), 35, array([383, 344], dtype=int32), 36, array([127, 212], dtype=int32), 37, array([151, 188], dtype=int32), 38, array([183, 179], dtype=int32), 39, array([220, 192], dtype=int32), 40, array([189, 204], dtype=int32), 41, array([156, 212], dtype=int32), 42, array([385, 170], dtype=int32), 43, array([412, 148], dtype=int32), 44, array([445, 145], dtype=int32), 45, array([475, 160], dtype=int32), 46, array([449, 169], dtype=int32), 47, array([416, 172], dtype=int32), 48, array([226, 492], dtype=int32), 49, array([263, 462], dtype=int32), 50, array([300, 440], dtype=int32), 51, array([335, 444], dtype=int32), 52, array([366, 430], dtype=int32), 53, array([413, 437], dtype=int32), 54, array([466, 454], dtype=int32), 55, array([429, 492], dtype=int32), 56, array([388, 511], dtype=int32), 57, array([353, 517], dtype=int32), 58, array([318, 520], dtype=int32), 59, array([274, 515], dtype=int32), 60, array([243, 488], dtype=int32), 61, array([305, 467], dtype=int32), 62, array([339, 464], dtype=int32), 63, array([372, 456], dtype=int32), 64, array([450, 456], dtype=int32), 65, array([379, 475], dtype=int32), 66, array([346, 481], dtype=int32), 67, array([311, 482], dtype=int32)]
4;004,004_55,[0, array([-10, 258], dtype=int32), 1, array([  1, 326], dtype=int32), 2, array([ 17, 391], dtype=int32), 3, array([ 36, 452], dtype=int32), 4, array([ 67, 505], dtype=int32), 5, array([115, 544], dtype=int32), 6, array([185, 560], dtype=int32), 7, array([261, 561], dtype=int32), 8, array([337, 552], dtype=int32), 9, array([408, 539], dtype=int32), 10, array([467, 520], dtype=int32), 11, array([518, 487], dtype=int32), 12, array([547, 430], dtype=int32), 13, array([555, 360], dtype=int32), 14, array([553, 288], dtype=int32), 15, array([547, 216], dtype=int32), 16, array([535, 144], dtype=int32), 17, array([ 28, 148], dtype=int32), 18, array([ 59, 109], dtype=int32), 19, array([111,  96], dtype=int32), 20, array([164,  99], dtype=int32), 21, array([218, 109], dtype=int32), 22, array([278,  91], dtype=int32), 23, array([324,  58], dtype=int32), 24, array([373,  33], dtype=int32), 25, array([428,  28], dtype=int32), 26, array([470,  53], dtype=int32), 27, array([256, 151], dtype=int32), 28, array([265, 190], dtype=int32), 29, array([273, 226], dtype=int32), 30, array([282, 265], dtype=int32), 31, array([237, 341], dtype=int32), 32, array([267, 342], dtype=int32), 33, array([295, 339], dtype=int32), 34, array([321, 329], dtype=int32), 35, array([345, 320], dtype=int32), 36, array([ 90, 202], dtype=int32), 37, array([116, 174], dtype=int32), 38, array([151, 166], dtype=int32), 39, array([187, 184], dtype=int32), 40, array([157, 198], dtype=int32), 41, array([121, 208], dtype=int32), 42, array([335, 153], dtype=int32), 43, array([366, 121], dtype=int32), 44, array([403, 113], dtype=int32), 45, array([434, 129], dtype=int32), 46, array([411, 146], dtype=int32), 47, array([375, 153], dtype=int32), 48, array([218, 488], dtype=int32), 49, array([252, 442], dtype=int32), 50, array([288, 413], dtype=int32), 51, array([312, 417], dtype=int32), 52, array([337, 402], dtype=int32), 53, array([379, 414], dtype=int32), 54, array([416, 443], dtype=int32), 55, array([389, 463], dtype=int32), 56, array([353, 477], dtype=int32), 57, array([325, 486], dtype=int32), 58, array([299, 492], dtype=int32), 59, array([260, 497], dtype=int32), 60, array([233, 481], dtype=int32), 61, array([292, 454], dtype=int32), 62, array([315, 450], dtype=int32), 63, array([342, 442], dtype=int32), 64, array([401, 442], dtype=int32), 65, array([344, 441], dtype=int32), 66, array([317, 448], dtype=int32), 67, array([293, 453], dtype=int32)]
5;004,004_252,[0, array([ -5, 201], dtype=int32), 1, array([ -3, 274], dtype=int32), 2, array([  0, 345], dtype=int32), 3, array([  8, 415], dtype=int32), 4, array([ 27, 479], dtype=int32), 5, array([ 66, 527], dtype=int32), 6, array([127, 548], dtype=int32), 7, array([194, 558], dtype=int32), 8, array([268, 561], dtype=int32), 9, array([345, 567], dtype=int32), 10, array([417, 563], dtype=int32), 11, array([483, 547], dtype=int32), 12, array([525, 505], dtype=int32), 13, array([543, 443], dtype=int32), 14, array([550, 376], dtype=int32), 15, array([557, 310], dtype=int32), 16, array([563, 242], dtype=int32), 17, array([ 56, 104], dtype=int32), 18, array([95, 61], dtype=int32), 19, array([151,  45], dtype=int32), 20, array([209,  51], dtype=int32), 21, array([265,  76], dtype=int32), 22, array([351,  81], dtype=int32), 23, array([404,  67], dtype=int32), 24, array([461,  70], dtype=int32), 25, array([511,  94], dtype=int32), 26, array([540, 144], dtype=int32), 27, array([302, 132], dtype=int32), 28, array([299, 171], dtype=int32), 29, array([297, 209], dtype=int32), 30, array([294, 249], dtype=int32), 31, array([236, 303], dtype=int32), 32, array([264, 310], dtype=int32), 33, array([293, 318], dtype=int32), 34, array([321, 314], dtype=int32), 35, array([349, 309], dtype=int32), 36, array([115, 158], dtype=int32), 37, array([147, 136], dtype=int32), 38, array([183, 133], dtype=int32), 39, array([218, 156], dtype=int32), 40, array([180, 160], dtype=int32), 41, array([145, 162], dtype=int32), 42, array([380, 168], dtype=int32), 43, array([417, 151], dtype=int32), 44, array([452, 157], dtype=int32), 45, array([480, 183], dtype=int32), 46, array([449, 185], dtype=int32), 47, array([413, 177], dtype=int32), 48, array([170, 417], dtype=int32), 49, array([217, 391], dtype=int32), 50, array([260, 378], dtype=int32), 51, array([291, 388], dtype=int32), 52, array([321, 381], dtype=int32), 53, array([360, 399], dtype=int32), 54, array([403, 430], dtype=int32), 55, array([357, 435], dtype=int32), 56, array([316, 431], dtype=int32), 57, array([286, 429], dtype=int32), 58, array([253, 427], dtype=int32), 59, array([214, 426], dtype=int32), 60, array([187, 416], dtype=int32), 61, array([258, 405], dtype=int32), 62, array([290, 409], dtype=int32), 63, array([320, 409], dtype=int32), 64, array([387, 427], dtype=int32), 65, array([318, 405], dtype=int32), 66, array([288, 404], dtype=int32), 67, array([256, 400], dtype=int32)]
6;004,004_130,[0, array([ -6, 260], dtype=int32), 1, array([  0, 322], dtype=int32), 2, array([  7, 381], dtype=int32), 3, array([ 17, 439], dtype=int32), 4, array([ 43, 493], dtype=int32), 5, array([ 91, 535], dtype=int32), 6, array([157, 555], dtype=int32), 7, array([229, 563], dtype=int32), 8, array([305, 557], dtype=int32), 9, array([374, 551], dtype=int32), 10, array([434, 532], dtype=int32), 11, array([488, 503], dtype=int32), 12, array([522, 452], dtype=int32), 13, array([536, 391], dtype=int32), 14, array([536, 330], dtype=int32), 15, array([533, 268], dtype=int32), 16, array([525, 205], dtype=int32), 17, array([ 29, 162], dtype=int32), 18, array([ 49, 118], dtype=int32), 19, array([92, 90], dtype=int32), 20, array([143,  82], dtype=int32), 21, array([195,  90], dtype=int32), 22, array([282,  76], dtype=int32), 23, array([332,  58], dtype=int32), 24, array([382,  56], dtype=int32), 25, array([429,  74], dtype=int32), 26, array([458, 112], dtype=int32), 27, array([244, 146], dtype=int32), 28, array([249, 190], dtype=int32), 29, array([255, 231], dtype=int32), 30, array([260, 275], dtype=int32), 31, array([202, 325], dtype=int32), 32, array([234, 332], dtype=int32), 33, array([265, 336], dtype=int32), 34, array([296, 324], dtype=int32), 35, array([326, 311], dtype=int32), 36, array([ 80, 191], dtype=int32), 37, array([106, 170], dtype=int32), 38, array([137, 164], dtype=int32), 39, array([173, 174], dtype=int32), 40, array([143, 182], dtype=int32), 41, array([112, 189], dtype=int32), 42, array([317, 158], dtype=int32), 43, array([350, 141], dtype=int32), 44, array([380, 141], dtype=int32), 45, array([408, 155], dtype=int32), 46, array([381, 159], dtype=int32), 47, array([352, 159], dtype=int32), 48, array([169, 436], dtype=int32), 49, array([207, 408], dtype=int32), 50, array([245, 391], dtype=int32), 51, array([272, 398], dtype=int32), 52, array([300, 384], dtype=int32), 53, array([340, 394], dtype=int32), 54, array([381, 414], dtype=int32), 55, array([348, 436], dtype=int32), 56, array([313, 448], dtype=int32), 57, array([282, 453], dtype=int32), 58, array([253, 454], dtype=int32), 59, array([214, 452], dtype=int32), 60, array([184, 433], dtype=int32), 61, array([247, 419], dtype=int32), 62, array([275, 420], dtype=int32), 63, array([304, 413], dtype=int32), 64, array([366, 414], dtype=int32), 65, array([307, 414], dtype=int32), 66, array([278, 420], dtype=int32), 67, array([250, 421], dtype=int32)]
7;004,004_246,[0, array([ 15, 149], dtype=int32), 1, array([ 16, 233], dtype=int32), 2, array([ 24, 315], dtype=int32), 3, array([ 33, 394], dtype=int32), 4, array([ 58, 468], dtype=int32), 5, array([100, 535], dtype=int32), 6, array([155, 593], dtype=int32), 7, array([220, 644], dtype=int32), 8, array([293, 662], dtype=int32), 9, array([369, 652], dtype=int32), 10, array([441, 611], dtype=int32), 11, array([504, 557], dtype=int32), 12, array([553, 492], dtype=int32), 13, array([584, 420], dtype=int32), 14, array([600, 340], dtype=int32), 15, array([612, 257], dtype=int32), 16, array([617, 172], dtype=int32), 17, array([61, 97], dtype=int32), 18, array([99, 61], dtype=int32), 19, array([154,  50], dtype=int32), 20, array([209,  59], dtype=int32), 21, array([260,  81], dtype=int32), 22, array([371,  86], dtype=int32), 23, array([424,  68], dtype=int32), 24, array([479,  61], dtype=int32), 25, array([534,  77], dtype=int32), 26, array([571, 115], dtype=int32), 27, array([315, 158], dtype=int32), 28, array([313, 223], dtype=int32), 29, array([311, 287], dtype=int32), 30, array([310, 351], dtype=int32), 31, array([248, 367], dtype=int32), 32, array([276, 382], dtype=int32), 33, array([309, 397], dtype=int32), 34, array([343, 385], dtype=int32), 35, array([372, 372], dtype=int32), 36, array([122, 160], dtype=int32), 37, array([155, 136], dtype=int32), 38, array([198, 140], dtype=int32), 39, array([235, 174], dtype=int32), 40, array([195, 179], dtype=int32), 41, array([152, 177], dtype=int32), 42, array([394, 178], dtype=int32), 43, array([430, 148], dtype=int32), 44, array([473, 147], dtype=int32), 45, array([506, 172], dtype=int32), 46, array([474, 187], dtype=int32), 47, array([432, 186], dtype=int32), 48, array([190, 448], dtype=int32), 49, array([232, 432], dtype=int32), 50, array([273, 428], dtype=int32), 51, array([305, 439], dtype=int32), 52, array([337, 432], dtype=int32), 53, array([375, 443], dtype=int32), 54, array([415, 462], dtype=int32), 55, array([372, 501], dtype=int32), 56, array([331, 517], dtype=int32), 57, array([297, 518], dtype=int32), 58, array([263, 512], dtype=int32), 59, array([225, 490], dtype=int32), 60, array([211, 452], dtype=int32), 61, array([271, 457], dtype=int32), 62, array([304, 463], dtype=int32), 63, array([336, 462], dtype=int32), 64, array([393, 465], dtype=int32), 65, array([333, 471], dtype=int32), 66, array([300, 473], dtype=int32), 67, array([267, 466], dtype=int32)]
8;004,004_191,[0, array([ 16, 173], dtype=int32), 1, array([ 12, 243], dtype=int32), 2, array([ 13, 310], dtype=int32), 3, array([ 19, 377], dtype=int32), 4, array([ 36, 439], dtype=int32), 5, array([ 66, 492], dtype=int32), 6, array([115, 530], dtype=int32), 7, array([173, 550], dtype=int32), 8, array([243, 559], dtype=int32), 9, array([314, 562], dtype=int32), 10, array([380, 554], dtype=int32), 11, array([439, 528], dtype=int32), 12, array([480, 483], dtype=int32), 13, array([508, 427], dtype=int32), 14, array([530, 365], dtype=int32), 15, array([549, 301], dtype=int32), 16, array([564, 232], dtype=int32), 17, array([ 78, 105], dtype=int32), 18, array([117,  74], dtype=int32), 19, array([169,  63], dtype=int32), 20, array([221,  72], dtype=int32), 21, array([269,  95], dtype=int32), 22, array([350, 101], dtype=int32), 23, array([401,  88], dtype=int32), 24, array([453,  89], dtype=int32), 25, array([501, 112], dtype=int32), 26, array([528, 153], dtype=int32), 27, array([304, 159], dtype=int32), 28, array([300, 201], dtype=int32), 29, array([295, 243], dtype=int32), 30, array([291, 285], dtype=int32), 31, array([236, 324], dtype=int32), 32, array([259, 332], dtype=int32), 33, array([283, 341], dtype=int32), 34, array([309, 338], dtype=int32), 35, array([333, 335], dtype=int32), 36, array([134, 166], dtype=int32), 37, array([166, 151], dtype=int32), 38, array([200, 153], dtype=int32), 39, array([231, 174], dtype=int32), 40, array([198, 179], dtype=int32), 41, array([162, 178], dtype=int32), 42, array([365, 189], dtype=int32), 43, array([402, 173], dtype=int32), 44, array([436, 179], dtype=int32), 45, array([463, 201], dtype=int32), 46, array([433, 205], dtype=int32), 47, array([398, 201], dtype=int32), 48, array([173, 415], dtype=int32), 49, array([212, 392], dtype=int32), 50, array([252, 384], dtype=int32), 51, array([277, 395], dtype=int32), 52, array([306, 390], dtype=int32), 53, array([340, 407], dtype=int32), 54, array([372, 439], dtype=int32), 55, array([333, 464], dtype=int32), 56, array([296, 472], dtype=int32), 57, array([267, 471], dtype=int32), 58, array([237, 465], dtype=int32), 59, array([203, 448], dtype=int32), 60, array([187, 414], dtype=int32), 61, array([248, 410], dtype=int32), 62, array([275, 415], dtype=int32), 63, array([302, 416], dtype=int32), 64, array([357, 435], dtype=int32), 65, array([299, 434], dtype=int32), 66, array([271, 433], dtype=int32), 67, array([244, 428], dtype=int32)]
9;004,004_159,[0, array([  6, 220], dtype=int32), 1, array([ 10, 303], dtype=int32), 2, array([ 18, 386], dtype=int32), 3, array([ 32, 465], dtype=int32), 4, array([ 62, 538], dtype=int32), 5, array([113, 597], dtype=int32), 6, array([182, 642], dtype=int32), 7, array([258, 669], dtype=int32), 8, array([343, 673], dtype=int32), 9, array([425, 664], dtype=int32), 10, array([493, 632], dtype=int32), 11, array([549, 582], dtype=int32), 12, array([587, 516], dtype=int32), 13, array([607, 441], dtype=int32), 14, array([616, 364], dtype=int32), 15, array([621, 286], dtype=int32), 16, array([621, 209], dtype=int32), 17, array([ 80, 148], dtype=int32), 18, array([117,  99], dtype=int32), 19, array([176,  80], dtype=int32), 20, array([237,  87], dtype=int32), 21, array([295, 109], dtype=int32), 22, array([373, 108], dtype=int32), 23, array([429,  88], dtype=int32), 24, array([486,  80], dtype=int32), 25, array([541,  97], dtype=int32), 26, array([572, 144], dtype=int32), 27, array([335, 181], dtype=int32), 28, array([337, 231], dtype=int32), 29, array([339, 278], dtype=int32), 30, array([341, 328], dtype=int32), 31, array([279, 375], dtype=int32), 32, array([309, 385], dtype=int32), 33, array([340, 391], dtype=int32), 34, array([370, 385], dtype=int32), 35, array([399, 377], dtype=int32), 36, array([152, 195], dtype=int32), 37, array([184, 174], dtype=int32), 38, array([222, 175], dtype=int32), 39, array([257, 200], dtype=int32), 40, array([221, 206], dtype=int32), 41, array([183, 207], dtype=int32), 42, array([404, 201], dtype=int32), 43, array([438, 176], dtype=int32), 44, array([475, 174], dtype=int32), 45, array([506, 194], dtype=int32), 46, array([478, 207], dtype=int32), 47, array([440, 207], dtype=int32), 48, array([234, 488], dtype=int32), 49, array([277, 465], dtype=int32), 50, array([313, 449], dtype=int32), 51, array([344, 459], dtype=int32), 52, array([374, 450], dtype=int32), 53, array([411, 466], dtype=int32), 54, array([450, 489], dtype=int32), 55, array([413, 514], dtype=int32), 56, array([377, 526], dtype=int32), 57, array([345, 528], dtype=int32), 58, array([313, 525], dtype=int32), 59, array([276, 513], dtype=int32), 60, array([252, 488], dtype=int32), 61, array([313, 476], dtype=int32), 62, array([344, 481], dtype=int32), 63, array([375, 478], dtype=int32), 64, array([434, 488], dtype=int32), 65, array([375, 489], dtype=int32), 66, array([344, 492], dtype=int32), 67, array([313, 487], dtype=int32)]
